pid,row_index,eval_time,y_true,y_pred,surv_prob,risk,dataset
3,6,1506.75,0,0,0.9859751760959625,0.014024823904037476,FRTCS
3,7,1627.0,0,0,0.9423652589321136,0.05763474106788635,FRTCS
3,8,1740.25,0,0,0.9775681290775537,0.02243187092244625,FRTCS
7,18,1506.75,0,0,0.9993461115518585,0.0006538884481415153,FRTCS
7,19,1627.0,0,0,0.9984500179998577,0.001549982000142336,FRTCS
7,20,1740.25,0,0,0.9987699497723952,0.0012300502276048064,FRTCS
8,21,1506.75,0,0,0.5375652611255646,0.4624347388744354,FRTCS
8,22,1627.0,0,0,0.8168651163578033,0.18313488364219666,FRTCS
8,23,1740.25,0,0,0.9259479269385338,0.07405207306146622,FRTCS
11,30,1506.75,0,0,0.9996927157917526,0.0003072842082474381,FRTCS
11,31,1627.0,0,0,0.9997440186270978,0.0002559813729021698,FRTCS
11,32,1740.25,0,0,0.9997885808261344,0.00021141917386557907,FRTCS
12,33,1506.75,0,0,0.9976880743633956,0.0023119256366044283,FRTCS
12,34,1627.0,0,0,0.9386890344321728,0.061310965567827225,FRTCS
12,35,1740.25,0,0,0.9908391162753105,0.009160883724689484,FRTCS
19,54,1506.75,0,0,0.999341243004892,0.0006587569951079786,FRTCS
19,55,1627.0,0,0,0.9995511252200231,0.0004488747799769044,FRTCS
19,56,1740.25,0,0,0.9995999253587797,0.0004000746412202716,FRTCS
25,72,1506.75,0,0,0.9800174385309219,0.019982561469078064,FRTCS
25,73,1627.0,0,0,0.9935322422534227,0.006467757746577263,FRTCS
25,74,1740.25,0,0,0.9945837110280991,0.00541628897190094,FRTCS
29,84,1506.75,0,0,0.9694512709975243,0.03054872900247574,FRTCS
29,85,1627.0,0,0,0.9851017110049725,0.014898288995027542,FRTCS
29,86,1740.25,0,0,0.9799066409468651,0.020093359053134918,FRTCS
30,87,1506.75,0,0,0.992229045368731,0.007770954631268978,FRTCS
30,88,1627.0,0,0,0.9967677094973624,0.0032322905026376247,FRTCS
30,89,1740.25,0,0,0.9972289018332958,0.002771098166704178,FRTCS
31,90,1506.75,0,0,0.9955113180913031,0.00448868190869689,FRTCS
31,91,1627.0,0,0,0.9996836876380257,0.00031631236197426915,FRTCS
31,92,1740.25,0,0,0.9996018233941868,0.00039817660581320524,FRTCS
32,93,1506.75,0,0,0.9982758552068844,0.0017241447931155562,FRTCS
32,94,1627.0,0,0,0.9935438791289926,0.0064561208710074425,FRTCS
32,95,1740.25,0,0,0.9962963166180998,0.0037036833819001913,FRTCS
40,117,1506.75,0,0,0.9690183252096176,0.030981674790382385,FRTCS
40,118,1627.0,0,0,0.9959247508086264,0.004075249191373587,FRTCS
40,119,1740.25,0,0,0.9972606534138322,0.0027393465861678123,FRTCS
42,123,1506.75,0,0,0.9854776244610548,0.014522375538945198,FRTCS
42,124,1627.0,0,0,0.9911861391738057,0.008813860826194286,FRTCS
42,125,1740.25,0,0,0.989706133492291,0.010293866507709026,FRTCS
43,126,1506.75,0,0,0.9950675275176764,0.0049324724823236465,FRTCS
43,127,1627.0,0,0,0.9974673881661147,0.002532611833885312,FRTCS
43,128,1740.25,0,0,0.9973586522974074,0.0026413477025926113,FRTCS
44,129,1506.75,0,0,0.998941220343113,0.0010587796568870544,FRTCS
44,130,1627.0,0,0,0.9991807520855218,0.0008192479144781828,FRTCS
44,131,1740.25,0,0,0.9994693560875021,0.0005306439124979079,FRTCS
45,132,1506.75,0,0,0.8923286944627762,0.10767130553722382,FRTCS
45,133,1627.0,0,0,0.980016440153122,0.019983559846878052,FRTCS
45,134,1740.25,0,0,0.9849333604797721,0.015066639520227909,FRTCS
50,147,1506.75,0,0,0.9642312563955784,0.035768743604421616,FRTCS
50,148,1627.0,0,0,0.9904038552194834,0.009596144780516624,FRTCS
50,149,1740.25,0,0,0.9926407262682915,0.007359273731708527,FRTCS
52,153,1506.75,1,0,0.9979176931083202,0.002082306891679764,FRTCS
52,154,1627.0,1,1,0.32449984550476074,0.6755001544952393,FRTCS
52,155,1740.25,1,1,0.05023014545440674,0.9497698545455933,FRTCS
55,162,1506.75,0,0,0.9813074637204409,0.018692536279559135,FRTCS
55,163,1627.0,0,0,0.9958250019699335,0.00417499803006649,FRTCS
55,164,1740.25,0,0,0.9957969165407121,0.004203083459287882,FRTCS
56,165,1506.75,0,0,0.990152538754046,0.009847461245954037,FRTCS
56,166,1627.0,0,0,0.9971608517225832,0.0028391482774168253,FRTCS
