pid,eval_time,risk,dataset
3,1419.5,0.033722084015607834,FRTCS
3,1542.0,0.0374773876095873,FRTCS
3,1627.0,0.1438717998153114,FRTCS
3,1726.8,0.14792943506783895,FRTCS
3,1782.6,0.14916245246065485,FRTCS
7,1419.5,0.0003460310399532318,FRTCS
7,1542.0,0.0005507967024039884,FRTCS
7,1627.0,0.0016191383135371051,FRTCS
7,1726.8,0.00236990935300907,FRTCS
7,1782.6,0.0030643521135889085,FRTCS
8,1419.5,0.3018369972705841,FRTCS
8,1542.0,0.3056933994716807,FRTCS
8,1627.0,0.48283605873548563,FRTCS
8,1726.8,0.4855187138850884,FRTCS
8,1782.6,0.4863716364396906,FRTCS
11,1419.5,0.0003531432885210961,FRTCS
11,1542.0,0.0006989770685691399,FRTCS
11,1627.0,0.0009035740230145528,FRTCS
11,1726.8,0.001055088382328706,FRTCS
11,1782.6,0.001210024377006902,FRTCS
12,1419.5,0.006178293842822313,FRTCS
12,1542.0,0.006977023323196385,FRTCS
12,1627.0,0.08912189296794337,FRTCS
12,1726.8,0.09190037611230029,FRTCS
12,1782.6,0.09338400812004521,FRTCS
19,1419.5,0.0004975942429155111,FRTCS
19,1542.0,0.0024157277350931317,FRTCS
19,1627.0,0.002851126589906383,FRTCS
19,1726.8,0.0030992685702266876,FRTCS
19,1782.6,0.11195668466393316,FRTCS
25,1419.5,0.009127200581133366,FRTCS
25,1542.0,0.03700401312985435,FRTCS
25,1627.0,0.03997726312128913,FRTCS
25,1726.8,0.04137272178114049,FRTCS
25,1782.6,0.042026177217194594,FRTCS
29,1419.5,0.13163325190544128,FRTCS
29,1542.0,0.15988941179272242,FRTCS
29,1627.0,0.1616587212448154,FRTCS
29,1726.8,0.16248258745160515,FRTCS
29,1782.6,0.16348496224822273,FRTCS
30,1419.5,0.008839737623929977,FRTCS
30,1542.0,0.01094475143285678,FRTCS
30,1627.0,0.01255607897292843,FRTCS
30,1726.8,0.01334037308471736,FRTCS
30,1782.6,0.014959932864878844,FRTCS
31,1419.5,0.017151467502117157,FRTCS
31,1542.0,0.025042189841781193,FRTCS
31,1627.0,0.02530794283480542,FRTCS
31,1726.8,0.025524780137327063,FRTCS
31,1782.6,0.025685201647645317,FRTCS
32,1419.5,0.0109782163053751,FRTCS
32,1542.0,0.012559713095815384,FRTCS
32,1627.0,0.015740926905694064,FRTCS
32,1726.8,0.017610972540891834,FRTCS
32,1782.6,0.018920123162103564,FRTCS
40,1419.5,0.017342330887913704,FRTCS
40,1542.0,0.03929371500494272,FRTCS
40,1627.0,0.04267482137114953,FRTCS
40,1726.8,0.044815942355544314,FRTCS
40,1782.6,0.04709833768049876,FRTCS
42,1419.5,0.001176623278297484,FRTCS
42,1542.0,0.021028289283809287,FRTCS
42,1627.0,0.024475840885735844,FRTCS
42,1726.8,0.027615367732070628,FRTCS
42,1782.6,0.030497113679249677,FRTCS
43,1419.5,0.08342558890581131,FRTCS
43,1542.0,0.08793922364508211,FRTCS
43,1627.0,0.08942266027813306,FRTCS
43,1726.8,0.09058454853203268,FRTCS
43,1782.6,0.09157010268899368,FRTCS
44,1419.5,0.0017353282310068607,FRTCS
44,1542.0,0.0029119695625084985,FRTCS
44,1627.0,0.0033033489211488076,FRTCS
44,1726.8,0.0035720316087368698,FRTCS
44,1782.6,0.003872678313788569,FRTCS
45,1419.5,0.09189417958259583,FRTCS
45,1542.0,0.40282529538468914,FRTCS
45,1627.0,0.41044518918052764,FRTCS
45,1726.8,0.4128056849622249,FRTCS
45,1782.6,0.4158732907172259,FRTCS
50,1419.5,0.056438107043504715,FRTCS
50,1542.0,0.08994946263313053,FRTCS
50,1627.0,0.094720474182861,FRTCS
50,1726.8,0.09814373541907351,FRTCS
50,1782.6,0.1001025489644507,FRTCS
52,1419.5,0.07197083532810211,FRTCS
52,1542.0,0.10623867104444096,FRTCS
52,1627.0,0.989461561821899,FRTCS
52,1726.8,0.9999181986017789,FRTCS
52,1782.6,0.9999997391428586,FRTCS
55,1419.5,0.05589546263217926,FRTCS
55,1542.0,0.5274191870172484,FRTCS
55,1627.0,0.5525694502812644,FRTCS
55,1726.8,0.566477321126405,FRTCS
55,1782.6,0.5752930443723641,FRTCS
56,1419.5,0.003064996562898159,FRTCS
56,1542.0,0.01110420051854144,FRTCS
56,1627.0,0.012272661869015322,FRTCS
56,1726.8,0.012744494905914339,FRTCS
56,1782.6,0.013230966231776553,FRTCS
57,1419.5,0.001445295289158821,FRTCS
57,1542.0,0.001747971178542418,FRTCS
57,1627.0,0.0019520696742612031,FRTCS
57,1726.8,0.0020881691854675033,FRTCS
57,1782.6,0.0022222254006675213,FRTCS
61,1419.5,0.005209868308156729,FRTCS
61,1542.0,0.03589359128258607,FRTCS
61,1627.0,0.036369467559873025,FRTCS
61,1726.8,0.03658602105216313,FRTCS
61,1782.6,0.03683637227745595,FRTCS
62,1419.5,0.318394273519516,FRTCS
62,1542.0,0.3434712860155805,FRTCS
62,1627.0,0.34639968898957185,FRTCS
62,1726.8,0.34774770766630825,FRTCS
62,1782.6,0.3490280763645277,FRTCS
64,1419.5,0.14251679182052612,FRTCS
64,1542.0,0.15746861936221668,FRTCS
64,1627.0,0.18447575705333985,FRTCS
64,1726.8,0.19346150893053893,FRTCS
64,1782.6,0.19969153346485913,FRTCS
66,1419.5,0.0010862320195883512,FRTCS
66,1542.0,0.1236926106878482,FRTCS
66,1627.0,0.13314157529937165,FRTCS
66,1726.8,0.13592084306439478,FRTCS
66,1782.6,0.13767487916838728,FRTCS
67,1419.5,0.06880476325750351,FRTCS
67,1542.0,0.40722987454601367,FRTCS
67,1627.0,0.41723550745004534,FRTCS
67,1726.8,0.42263948153982467,FRTCS
67,1782.6,0.42594409489391527,FRTCS
70,1419.5,0.3335987329483032,FRTCS
70,1542.0,0.3522704673401418,FRTCS
70,1627.0,0.3537232306292055,FRTCS
70,1726.8,0.35481445898104125,FRTCS
70,1782.6,0.35581372589994364,FRTCS
71,1419.5,0.019084585830569267,FRTCS
71,1542.0,0.021621848497401674,FRTCS
71,1627.0,0.022517981312370705,FRTCS
71,1726.8,0.02290178102788354,FRTCS
71,1782.6,0.023221197635643898,FRTCS
73,1419.5,0.008945918641984463,FRTCS
73,1542.0,0.047790243864474724,FRTCS
73,1627.0,0.0506138102765874,FRTCS
73,1726.8,0.052383412190174394,FRTCS
73,1782.6,0.05376285569499639,FRTCS
74,1419.5,0.041682712733745575,FRTCS
74,1542.0,0.04276173433903352,FRTCS
74,1627.0,0.04363713707022332,FRTCS
74,1726.8,0.04426455680115993,FRTCS
74,1782.6,0.04474217759889476,FRTCS
77,1419.5,0.010164687409996986,FRTCS
77,1542.0,0.19671441179580362,FRTCS
77,1627.0,0.20729872992960063,FRTCS
77,1726.8,0.2105019422163773,FRTCS
77,1782.6,0.2128624893487483,FRTCS
78,1419.5,0.0562816821038723,FRTCS
78,1542.0,0.0662777307459308,FRTCS
78,1627.0,0.06789056204590682,FRTCS
78,1726.8,0.06894126279428558,FRTCS
78,1782.6,0.06953392163637695,FRTCS
79,1419.5,0.10348759591579437,FRTCS
79,1542.0,0.12576608585390292,FRTCS
79,1627.0,0.1279892096052767,FRTCS
79,1726.8,0.1289895487148679,FRTCS
79,1782.6,0.12974574501075165,FRTCS
82,1419.5,0.2235775887966156,FRTCS
82,1542.0,0.5728698320828816,FRTCS
82,1627.0,0.5841403744033107,FRTCS
82,1726.8,0.5878155937327914,FRTCS
82,1782.6,0.6037115385494511,FRTCS
83,1419.5,0.026598088443279266,FRTCS
83,1542.0,0.05188329288071336,FRTCS
83,1627.0,0.05494130887947257,FRTCS
83,1726.8,0.05779970433316828,FRTCS
83,1782.6,0.05939816643572493,FRTCS
87,1419.5,0.11710110306739807,FRTCS
87,1542.0,0.12121207279668256,FRTCS
87,1627.0,0.12263806571383218,FRTCS
87,1726.8,0.12335520792409582,FRTCS
87,1782.6,0.12395686474596412,FRTCS
90,1419.5,0.02608909085392952,FRTCS
90,1542.0,0.1844319656747586,FRTCS
90,1627.0,0.20758036217292308,FRTCS
90,1726.8,0.21968069738281082,FRTCS
90,1782.6,0.4925975690039657,FRTCS
91,1419.5,0.05593573674559593,FRTCS
91,1542.0,0.056868520993443084,FRTCS
91,1627.0,0.05735335322481783,FRTCS
91,1726.8,0.05766084967328411,FRTCS
91,1782.6,0.057965125348425794,FRTCS
93,1419.5,0.0027193170972168446,FRTCS
93,1542.0,0.003661444767219413,FRTCS
93,1627.0,0.0043942937751163536,FRTCS
93,1726.8,0.005090554891027943,FRTCS
93,1782.6,0.005912293053134787,FRTCS
102,1419.5,0.06873209029436111,FRTCS
102,1542.0,0.3957532613426802,FRTCS
102,1627.0,0.40206460482408135,FRTCS
102,1726.8,0.406208825671896,FRTCS
102,1782.6,0.40912274912805613,FRTCS
105,1419.5,0.3069210350513458,FRTCS
105,1542.0,0.8281684090499137,FRTCS
105,1627.0,0.833607493304382,FRTCS
105,1726.8,0.8347826117714039,FRTCS
105,1782.6,0.8357154117059002,FRTCS
109,1419.5,0.06982854008674622,FRTCS
109,1542.0,0.08343077373196539,FRTCS
109,1627.0,0.08828101203579242,FRTCS
109,1726.8,0.09018459367332543,FRTCS
109,1782.6,0.09139801958958638,FRTCS
